date,revenue,transactions,qty_sold,day_of_week,week_of_year,month,year,is_weekend,is_holiday,is_ramadan
2026-04-29,2889925.5,277.0,792.0,2,18,4,2026,0,0,0
2026-04-30,333484.06,30.0,76.0,3,18,4,2026,0,0,0
2026-05-01,265071.3,35.0,86.0,4,18,5,2026,0,0,0
2026-05-02,273926.5,50.0,84.0,5,18,5,2026,1,0,0
2026-05-03,577387.0,81.0,172.0,6,18,5,2026,1,0,0
2026-05-04,976127.56,100.0,305.0,0,19,5,2026,0,0,0
2026-05-05,1175934.2,137.0,390.0,1,19,5,2026,0,0,0
2026-05-06,1076154.9,129.0,356.0,2,19,5,2026,0,0,0
2026-05-07,479394.34,55.0,164.0,3,19,5,2026,0,0,0
2025-04-10,1346255.9,161.0,419.0,3,15,4,2025,0,0,0
2025-04-11,1604494.4,181.0,506.0,4,15,4,2025,0,0,0
2025-04-12,1714159.8,207.0,542.0,5,15,4,2025,1,0,0
2025-04-13,862776.1,115.0,278.0,6,15,4,2025,1,0,0
2025-04-14,421935.38,51.0,142.0,0,16,4,2025,0,0,0
2025-04-15,498628.56,43.0,161.0,1,16,4,2025,0,0,0
2025-04-16,631870.0,85.0,198.0,2,16,4,2025,0,0,0
2025-04-17,902219.0,91.0,286.0,3,16,4,2025,0,0,0
2025-04-18,1108892.0,129.0,367.0,4,16,4,2025,0,0,0
2025-04-19,1267316.0,154.0,429.0,5,16,4,2025,1,0,0
2025-04-20,1322260.5,193.0,446.0,6,16,4,2025,1,0,0
2025-04-21,1367411.4,203.0,455.0,0,17,4,2025,0,0,0
2025-04-22,1272233.2,181.0,407.0,1,17,4,2025,0,0,0
2025-04-23,818626.56,116.0,264.0,2,17,4,2025,0,0,0
2025-04-24,443965.62,52.0,143.0,3,17,4,2025,0,0,0
2025-04-25,2514938.8,330.0,701.0,4,17,4,2025,0,0,0
2025-04-26,2881509.8,311.0,816.0,5,17,4,2025,1,0,0
2025-04-27,238686.66,28.0,56.0,6,17,4,2025,1,0,0
2025-04-28,969541.8,111.0,317.0,0,18,4,2025,0,0,0
2025-04-29,1184160.2,142.0,347.0,1,18,4,2025,0,0,0
2025-04-30,1129737.8,192.0,349.0,2,18,4,2025,0,0,0
2025-05-01,1044340.7,155.0,323.0,3,18,5,2025,0,0,0
2025-05-02,850831.06,123.0,258.0,4,18,5,2025,0,0,0
2025-05-03,451166.7,55.0,132.0,5,18,5,2025,1,0,0
2024-12-11,1357723.2,162.0,422.0,2,50,12,2024,0,0,0
2024-12-12,1009831.25,131.0,313.0,3,50,12,2024,0,0,0
2024-12-13,2060814.1,248.0,626.0,4,50,12,2024,0,0,0
2024-12-14,1929624.0,223.0,577.0,5,50,12,2024,1,0,0
2024-12-15,1715769.2,162.0,507.0,6,50,12,2024,1,0,0
2024-12-16,1430461.8,180.0,426.0,0,51,12,2024,0,0,0
2024-12-17,1440133.1,150.0,440.0,1,51,12,2024,0,0,0
2024-12-18,1468902.9,166.0,446.0,2,51,12,2024,0,0,0
2024-12-19,1457956.6,210.0,449.0,3,51,12,2024,0,0,0
2024-12-20,1558696.4,195.0,485.0,4,51,12,2024,0,0,0
2024-12-21,1553349.1,201.0,484.0,5,51,12,2024,1,0,0
2024-12-22,1438523.9,201.0,446.0,6,51,12,2024,1,0,0
2024-12-23,748561.56,97.0,236.0,0,52,12,2024,0,0,0
2024-12-24,429907.12,47.0,140.0,1,52,12,2024,0,0,0
2024-12-25,2461177.0,318.0,707.0,2,52,12,2024,0,0,0
2024-12-26,2835694.0,295.0,770.0,3,52,12,2024,0,0,0
2024-12-27,466319.75,46.0,105.0,4,52,12,2024,0,0,0
2024-12-28,181645.25,23.0,56.0,5,52,12,2024,1,0,0
2024-12-29,261284.81,49.0,80.0,6,52,12,2024,1,0,0
2024-12-30,603519.9,83.0,181.0,0,1,12,2024,0,0,0
2024-12-31,1015753.2,103.0,320.0,1,1,12,2024,0,0,0
2025-01-01,1269797.6,147.0,431.0,2,1,1,2025,0,1,0
2025-01-02,1361175.8,179.0,476.0,3,1,1,2025,0,1,0
2025-01-03,1328484.5,200.0,454.0,4,1,1,2025,0,1,0
2025-10-14,1353628.0,162.0,421.0,1,42,10,2025,0,0,0
2025-10-15,697992.56,86.0,234.0,2,42,10,2025,0,0,0
2025-10-16,2092657.4,274.0,631.0,3,42,10,2025,0,0,0
2025-10-17,2283151.0,214.0,666.0,4,42,10,2025,0,0,0
2025-10-18,2164818.8,174.0,612.0,5,42,10,2025,1,0,0
2025-10-19,1806944.9,207.0,521.0,6,42,10,2025,1,0,0
2025-10-20,1771393.1,169.0,537.0,0,43,10,2025,0,0,0
2025-10-21,1741855.1,172.0,538.0,1,43,10,2025,0,0,0
2025-10-22,1711926.4,198.0,535.0,2,43,10,2025,0,0,0
2025-10-23,1733968.1,207.0,544.0,3,43,10,2025,0,0,0
2025-10-24,1722546.6,223.0,539.0,4,43,10,2025,0,0,0
2025-10-25,1706952.6,224.0,529.0,5,43,10,2025,1,0,0
2025-10-26,1667609.2,218.0,511.0,6,43,10,2025,1,0,0
2025-10-27,1474656.8,194.0,441.0,0,44,10,2025,0,0,0
2025-10-28,663495.25,104.0,208.0,1,44,10,2025,0,0,0
2025-10-29,685480.8,58.0,215.0,2,44,10,2025,0,0,0
2025-10-30,2555345.5,305.0,762.0,3,44,10,2025,0,0,0
2025-10-31,2136763.2,123.0,556.0,4,44,10,2025,0,0,0
2025-11-01,2175068.8,302.0,587.0,5,44,11,2025,1,0,0
2025-11-02,2388536.5,289.0,617.0,6,44,11,2025,1,0,0
2025-11-03,2526345.5,203.0,675.0,0,45,11,2025,0,0,0
2025-11-04,2281495.8,232.0,609.0,1,45,11,2025,0,0,0
2025-11-05,2125168.0,218.0,604.0,2,45,11,2025,0,0,0
2025-11-06,2022692.1,223.0,594.0,3,45,11,2025,0,0,0
2024-09-24,1415220.8,168.0,440.0,1,39,9,2024,0,0,0
2024-09-25,1622320.5,185.0,510.0,2,39,9,2024,0,0,0
2024-09-26,1789924.4,212.0,567.0,3,39,9,2024,0,0,0
2024-09-27,945569.44,129.0,302.0,4,39,9,2024,0,0,0
2024-09-28,486715.3,61.0,161.0,5,39,9,2024,1,0,0
2024-09-29,574236.9,48.0,179.0,6,39,9,2024,1,0,0
2024-09-30,682772.25,96.0,209.0,0,40,9,2024,0,0,0
2024-10-01,939134.7,99.0,296.0,1,40,10,2024,0,0,0
2024-10-02,1132484.0,130.0,373.0,2,40,10,2024,0,0,0
2024-10-03,1262778.1,158.0,424.0,3,40,10,2024,0,0,0
2024-10-04,1349527.4,196.0,452.0,4,40,10,2024,0,0,0
2024-10-05,1392104.8,208.0,461.0,5,40,10,2024,1,0,0
2024-10-06,1325287.0,192.0,426.0,6,40,10,2024,1,0,0
2024-10-07,616991.56,86.0,201.0,0,41,10,2024,0,0,0
2024-10-08,977109.1,99.0,314.0,1,41,10,2024,0,0,0
2024-10-09,2691024.8,302.0,804.0,2,41,10,2024,0,0,0
2024-10-10,2398528.8,248.0,676.0,3,41,10,2024,0,0,0
2024-10-11,1247645.8,124.0,364.0,4,41,10,2024,0,0,0
2024-10-12,263008.72,33.0,80.0,5,41,10,2024,1,0,0
2024-10-13,405010.72,48.0,122.0,6,41,10,2024,1,0,0
2024-10-14,686702.8,86.0,210.0,0,42,10,2024,0,0,0
2024-10-15,1072560.8,105.0,349.0,1,42,10,2024,0,0,0
2024-10-16,1327395.9,153.0,464.0,2,42,10,2024,0,0,0
2024-10-17,1461241.4,190.0,526.0,3,42,10,2024,0,0,0
2025-03-20,1416233.0,168.0,440.0,3,12,3,2025,0,0,1
2025-03-21,1517210.5,175.0,474.0,4,12,3,2025,0,0,1
2025-03-22,1892234.5,217.0,606.0,5,12,3,2025,1,0,1
2025-03-23,1159187.6,162.0,368.0,6,12,3,2025,1,0,1
2025-03-24,713403.9,94.0,223.0,0,13,3,2025,0,0,1
2025-03-25,700256.0,80.0,205.0,1,13,3,2025,0,0,1
2025-03-26,750104.56,100.0,218.0,2,13,3,2025,0,0,1
2025-03-27,862271.1,119.0,255.0,3,13,3,2025,0,0,1
2025-03-28,1039923.1,124.0,320.0,4,13,3,2025,0,0,1
2025-03-29,998792.7,128.0,306.0,5,13,3,2025,1,0,1
2025-03-30,366372.06,46.0,111.0,6,13,3,2025,1,0,1
2025-03-31,1973434.8,252.0,542.0,0,14,3,2025,0,0,1
2025-04-01,2393106.0,337.0,717.0,1,14,4,2025,0,0,0
2025-04-02,1207409.4,100.0,343.0,2,14,4,2025,0,0,0
2025-04-03,2251579.8,283.0,675.0,3,14,4,2025,0,0,0
2025-04-04,2378582.0,236.0,741.0,4,14,4,2025,0,0,0
2025-04-05,2151497.8,290.0,668.0,5,14,4,2025,1,0,0
2025-04-06,2273077.8,210.0,701.0,6,14,4,2025,1,0,0
2025-04-07,2244690.0,182.0,706.0,0,15,4,2025,0,0,0
2025-04-08,2124008.0,188.0,689.0,1,15,4,2025,0,0,0
2025-04-09,2002551.1,212.0,662.0,2,15,4,2025,0,0,0
2025-04-10,1947744.0,217.0,641.0,3,15,4,2025,0,0,0
2025-04-11,1830157.2,207.0,586.0,4,15,4,2025,0,0,0
2025-04-12,1086887.9,181.0,325.0,5,15,4,2025,1,0,0
2025-05-05,1345049.2,161.0,418.0,0,19,5,2025,0,0,0
2025-05-06,683413.5,84.0,229.0,1,19,5,2025,0,0,0
2025-05-07,2313479.0,288.0,680.0,2,19,5,2025,0,0,0
2025-05-08,2604015.5,219.0,761.0,3,19,5,2025,0,0,0
2025-05-09,2401445.8,249.0,676.0,4,19,5,2025,0,0,0
2025-05-10,2233496.0,228.0,649.0,5,19,5,2025,1,0,0
2025-05-11,2125103.8,203.0,634.0,6,19,5,2025,1,0,0
2025-05-12,2000054.9,202.0,614.0,0,20,5,2025,0,0,0
2025-05-13,1887542.8,220.0,580.0,1,20,5,2025,0,0,0
2025-05-14,1753592.6,224.0,523.0,2,20,5,2025,0,0,0
2025-05-15,1252696.2,180.0,364.0,3,20,5,2025,0,0,0
2025-05-16,618661.44,109.0,173.0,4,20,5,2025,0,0,0
2025-05-17,901388.5,81.0,244.0,5,20,5,2025,1,0,0
2025-05-18,2642323.5,300.0,768.0,6,20,5,2025,1,0,0
2025-05-19,2268015.2,164.0,615.0,0,21,5,2025,0,0,0
2025-05-20,1884976.8,257.0,536.0,1,21,5,2025,0,0,0
2025-05-21,1515959.8,196.0,383.0,2,21,5,2025,0,0,0
2025-05-22,1276093.9,171.0,342.0,3,21,5,2025,0,0,0
2025-05-23,1410071.4,180.0,391.0,4,21,5,2025,0,0,0
2025-05-24,1636965.5,177.0,466.0,5,21,5,2025,1,0,0
2025-05-25,1683031.0,222.0,489.0,6,21,5,2025,1,0,0
2025-05-26,1730920.6,227.0,513.0,0,22,5,2025,0,0,0
2025-05-27,1670065.2,212.0,495.0,1,22,5,2025,0,0,0
2025-05-28,1199993.5,160.0,359.0,2,22,5,2025,0,0,0
2025-11-19,1347649.9,161.0,419.0,2,47,11,2025,0,0,0
2025-11-20,1119223.2,142.0,342.0,3,47,11,2025,0,0,0
2025-11-21,2182294.8,260.0,656.0,4,47,11,2025,0,0,0
2025-11-22,2055244.6,244.0,619.0,5,47,11,2025,1,0,0
2025-11-23,2058154.4,166.0,592.0,6,47,11,2025,1,0,0
2025-11-24,1713260.6,209.0,490.0,0,48,11,2025,0,0,0
2025-11-25,1698680.2,175.0,503.0,1,48,11,2025,0,0,0
2025-11-26,1704878.4,179.0,506.0,2,48,11,2025,0,0,0
2025-11-27,1667016.0,206.0,498.0,3,48,11,2025,0,0,0
2025-11-28,1647736.1,199.0,495.0,4,48,11,2025,0,0,0
2025-11-29,1467177.6,187.0,438.0,5,48,11,2025,1,0,0
2025-11-30,670751.3,93.0,207.0,6,48,11,2025,1,0,0
2025-12-01,499067.47,47.0,161.0,0,49,12,2025,0,0,0
2025-12-02,2500666.5,318.0,717.0,1,49,12,2025,0,0,0
2025-12-03,2853263.2,306.0,797.0,2,49,12,2025,0,0,0
2025-12-04,156746.55,18.0,33.0,3,49,12,2025,0,0,0
2025-12-05,1171072.1,157.0,376.0,4,49,12,2025,0,0,0
2025-12-06,1239889.2,146.0,369.0,5,49,12,2025,1,0,0
2025-12-07,1203483.8,221.0,378.0,6,49,12,2025,1,0,0
2025-12-08,1289824.1,214.0,421.0,0,50,12,2025,0,0,0
2025-12-09,1389854.4,201.0,455.0,1,50,12,2025,0,0,0
2025-12-10,1372533.5,220.0,443.0,2,50,12,2025,0,0,0
2025-12-11,1156708.9,171.0,356.0,3,50,12,2025,0,0,0
2025-12-12,549631.25,78.0,181.0,4,50,12,2025,0,0,0
2025-02-27,1377294.6,164.0,428.0,3,9,2,2025,0,0,0
2025-02-28,1206355.0,150.0,369.0,4,9,2,2025,0,0,0
2025-03-01,2098336.0,247.0,644.0,5,9,3,2025,1,0,1
2025-03-02,1808080.6,236.0,559.0,6,9,3,2025,1,0,1
2025-03-03,1589700.2,184.0,473.0,0,10,3,2025,0,0,1
2025-03-04,1437710.2,181.0,426.0,1,10,3,2025,0,0,1
2025-03-05,1482881.2,163.0,446.0,2,10,3,2025,0,0,1
2025-03-06,1531052.8,184.0,460.0,3,10,3,2025,0,0,1
2025-03-07,1531815.1,215.0,466.0,4,10,3,2025,0,0,1
2025-03-08,1609265.5,203.0,494.0,5,10,3,2025,1,0,1
2025-03-09,1529410.4,204.0,467.0,6,10,3,2025,1,0,1
2025-03-10,1278797.9,168.0,382.0,0,11,3,2025,0,0,1
2025-03-11,536019.0,70.0,168.0,1,11,3,2025,0,0,1
2025-03-12,2221236.2,257.0,668.0,2,11,3,2025,0,0,1
2025-03-13,2751643.0,272.0,822.0,3,11,3,2025,0,0,1
2025-03-14,1144119.6,114.0,370.0,4,11,3,2025,0,0,1
2025-03-15,2096347.2,209.0,734.0,5,11,3,2025,1,0,1
2025-03-16,2242004.2,207.0,721.0,6,11,3,2025,1,0,1
2025-03-17,2021896.2,253.0,650.0,0,12,3,2025,0,0,1
2025-03-18,2067220.5,168.0,647.0,1,12,3,2025,0,0,1
2025-03-19,1871604.0,149.0,590.0,2,12,3,2025,0,0,1
2025-03-20,1432263.1,133.0,460.0,3,12,3,2025,0,0,1
2025-03-21,633002.94,64.0,211.0,4,12,3,2025,0,0,1
2025-03-22,2306004.5,285.0,737.0,5,12,3,2025,1,0,1
2025-03-17,1348696.6,161.0,419.0,0,12,3,2025,0,0,1
2025-03-18,986684.5,128.0,307.0,1,12,3,2025,0,0,1
2025-03-19,2302379.5,282.0,689.0,2,12,3,2025,0,0,1
2025-03-20,2438238.2,222.0,727.0,3,12,3,2025,0,0,1
2025-03-21,2389505.5,179.0,699.0,4,12,3,2025,0,0,1
2025-03-22,2018343.6,228.0,595.0,5,12,3,2025,1,0,1
2025-03-23,1949653.5,192.0,589.0,6,12,3,2025,1,0,1
2025-03-24,1901994.2,184.0,579.0,0,13,3,2025,0,0,1
2025-03-25,1811023.5,189.0,544.0,1,13,3,2025,0,0,1
2025-03-26,1623032.9,190.0,476.0,2,13,3,2025,0,0,1
2025-03-27,967588.6,139.0,290.0,3,13,3,2025,0,0,1
2025-03-28,459364.16,66.0,138.0,4,13,3,2025,0,0,1
2025-03-29,2196637.5,288.0,656.0,5,13,3,2025,1,0,1
2025-03-30,2690809.8,313.0,811.0,6,13,3,2025,1,0,1
2025-03-31,1378351.5,147.0,421.0,0,14,3,2025,0,0,1
2025-04-01,2226672.8,257.0,713.0,1,14,4,2025,0,0,0
2025-04-02,2481345.0,220.0,755.0,2,14,4,2025,0,0,0
2025-04-03,2246359.8,282.0,686.0,3,14,4,2025,0,0,0
2025-04-04,2334979.8,205.0,720.0,4,14,4,2025,0,0,0
2025-04-05,2274863.2,181.0,715.0,5,14,4,2025,1,0,0
2025-04-06,2111017.2,188.0,690.0,6,14,4,2025,1,0,0
2025-04-07,1955093.9,206.0,647.0,0,15,4,2025,0,0,0
2025-04-08,1810249.5,208.0,583.0,1,15,4,2025,0,0,0
2025-04-09,1495431.8,201.0,446.0,2,15,4,2025,0,0,0
2025-08-18,1379114.6,164.0,429.0,0,34,8,2025,0,0,0
2025-08-19,1512908.0,172.0,473.0,1,34,8,2025,0,0,0
2025-08-20,1645616.4,199.0,521.0,2,34,8,2025,0,0,0
2025-08-21,905440.4,116.0,295.0,3,34,8,2025,0,0,0
2025-08-22,477391.03,59.0,159.0,4,34,8,2025,0,0,0
2025-08-23,519224.62,48.0,164.0,5,34,8,2025,1,0,0
2025-08-24,611244.56,87.0,186.0,6,34,8,2025,1,0,0
2025-08-25,842881.5,91.0,258.0,0,35,8,2025,0,0,0
2025-08-26,1040562.2,124.0,331.0,1,35,8,2025,0,0,0
2025-08-27,1203911.4,145.0,393.0,2,35,8,2025,0,0,0
2025-08-28,1284572.8,184.0,420.0,3,35,8,2025,0,0,0
2025-08-29,1372196.0,202.0,447.0,4,35,8,2025,0,0,0
2025-08-30,1384192.4,202.0,445.0,5,35,8,2025,1,0,0
2025-08-31,1032313.56,135.0,327.0,6,35,8,2025,1,0,0
2025-09-01,409245.6,53.0,135.0,0,36,9,2025,0,0,0
2025-09-02,2478021.5,290.0,720.0,1,36,9,2025,0,0,0
2025-09-03,2946469.8,309.0,844.0,2,36,9,2025,0,0,0
2025-09-04,325009.94,36.0,83.0,3,36,9,2025,0,0,0
2025-09-05,1238400.0,159.0,421.0,4,36,9,2025,0,0,0
2025-09-06,1548044.8,171.0,474.0,5,36,9,2025,1,0,0
2025-09-07,1488245.8,198.0,470.0,6,36,9,2025,1,0,0
2025-09-08,1348946.8,189.0,441.0,0,37,9,2025,0,0,0
2025-09-09,1214134.4,183.0,396.0,1,37,9,2025,0,0,0
2025-09-10,1081261.8,160.0,336.0,2,37,9,2025,0,0,0
2025-05-20,1397295.0,166.0,434.0,1,21,5,2025,0,0,0
2025-05-21,1626046.1,185.0,512.0,2,21,5,2025,0,0,0
2025-05-22,1609055.6,203.0,504.0,3,21,5,2025,0,0,0
2025-05-23,807174.94,103.0,264.0,4,21,5,2025,0,0,0
2025-05-24,395857.75,43.0,134.0,5,21,5,2025,1,0,0
2025-05-25,431229.4,41.0,142.0,6,21,5,2025,1,0,0
2025-05-26,558014.06,72.0,176.0,0,22,5,2025,0,0,0
2025-05-27,829490.2,86.0,261.0,1,22,5,2025,0,0,0
2025-05-28,1049296.5,122.0,341.0,2,22,5,2025,0,0,0
2025-05-29,1220520.4,144.0,409.0,3,22,5,2025,0,0,0
2025-05-30,1309682.0,183.0,441.0,4,22,5,2025,0,0,0
2025-05-31,1361435.2,202.0,454.0,5,22,5,2025,1,0,0
2025-06-01,1329057.2,194.0,432.0,6,22,6,2025,1,0,0
2025-06-02,1004464.3,133.0,321.0,0,23,6,2025,0,0,0
2025-06-03,460509.44,62.0,150.0,1,23,6,2025,0,0,0
2025-06-04,2327169.5,294.0,662.0,2,23,6,2025,0,0,0
2025-06-05,2682372.0,316.0,803.0,3,23,6,2025,0,0,0
2025-06-06,1287784.6,136.0,393.0,4,23,6,2025,0,0,0
2025-06-07,2222374.2,240.0,723.0,5,23,6,2025,1,0,0
2025-06-08,2425560.0,220.0,746.0,6,23,6,2025,1,0,0
2025-06-09,2208491.5,276.0,684.0,0,24,6,2025,0,0,0
2025-06-10,2301492.0,196.0,717.0,1,24,6,2025,0,0,0
2025-06-11,2245020.2,172.0,714.0,2,24,6,2025,0,0,0
2025-06-12,2094631.0,184.0,693.0,3,24,6,2025,0,0,0
2025-06-19,1365443.0,163.0,424.0,3,25,6,2025,0,0,0
2025-06-20,1740462.5,201.0,553.0,4,25,6,2025,0,0,0
2025-06-21,1556882.5,199.0,478.0,5,25,6,2025,1,0,0
2025-06-22,681407.7,107.0,221.0,6,25,6,2025,1,0,0
2025-06-23,414050.9,39.0,136.0,0,26,6,2025,0,0,0
2025-06-24,476271.03,47.0,155.0,1,26,6,2025,0,0,0
2025-06-25,702260.9,85.0,224.0,2,26,6,2025,0,0,0
2025-06-26,995286.3,105.0,326.0,3,26,6,2025,0,0,0
2025-06-27,1227199.4,141.0,422.0,4,26,6,2025,0,0,0
2025-06-28,1346181.5,173.0,471.0,5,26,6,2025,1,0,0
2025-06-29,1395364.8,205.0,484.0,6,26,6,2025,1,0,0
2025-06-30,1340557.8,198.0,449.0,0,27,6,2025,0,0,0
2025-07-01,713065.44,96.0,242.0,1,27,7,2025,0,1,0
2025-07-02,438224.2,45.0,149.0,2,27,7,2025,0,1,0
2025-07-03,2428014.5,326.0,697.0,3,27,7,2025,0,1,0
2025-07-04,2809754.8,320.0,802.0,4,27,7,2025,0,1,0
2025-07-05,235233.6,28.0,55.0,5,27,7,2025,1,1,0
2025-07-06,1802528.0,200.0,550.0,6,27,7,2025,1,1,0
2025-07-07,1867869.4,269.0,547.0,0,28,7,2025,0,1,0
2025-07-08,1991013.8,260.0,551.0,1,28,7,2025,0,1,0
2025-07-09,1944934.0,253.0,541.0,2,28,7,2025,0,1,0
2025-07-10,1926352.6,258.0,539.0,3,28,7,2025,0,1,0
2025-07-11,1930127.2,265.0,543.0,4,28,7,2025,0,1,0
2025-07-12,1945186.9,270.0,547.0,5,28,7,2025,1,1,0
2026-03-11,1405282.9,167.0,436.0,2,11,3,2026,0,0,1
2026-03-12,1797701.6,209.0,571.0,3,11,3,2026,0,0,1
2026-03-13,1251091.5,171.0,399.0,4,11,3,2026,0,0,1
2026-03-14,745813.6,104.0,233.0,5,11,3,2026,1,0,1
2026-03-15,573045.7,70.0,169.0,6,11,3,2026,1,0,1
2026-03-16,630984.8,78.0,180.0,0,12,3,2026,0,0,1
2026-03-17,826599.06,123.0,240.0,1,12,3,2026,0,0,1
2026-03-18,1127096.6,143.0,350.0,2,12,3,2026,0,0,1
2026-03-19,1366846.0,156.0,448.0,3,12,3,2026,0,0,1
2026-03-20,1448038.1,209.0,484.0,4,12,3,2026,0,0,1
2026-03-21,1533651.0,223.0,510.0,5,12,3,2026,1,0,1
2026-03-22,1540049.5,222.0,504.0,6,12,3,2026,1,0,1
2026-03-23,1412706.6,207.0,450.0,0,13,3,2026,0,0,1
2026-03-24,901916.3,128.0,293.0,1,13,3,2026,0,0,1
2026-03-25,460003.8,57.0,149.0,2,13,3,2026,0,0,1
2026-03-26,2108354.0,280.0,615.0,3,13,3,2026,0,0,1
2026-03-27,2553192.5,318.0,786.0,4,13,3,2026,0,0,1
2026-03-28,1365004.1,136.0,452.0,5,13,3,2026,1,0,1
2026-03-29,2176470.8,264.0,714.0,6,13,3,2026,1,0,1
2026-03-30,2418499.8,217.0,754.0,0,14,3,2026,0,0,1
2026-03-31,2181086.8,280.0,675.0,1,14,3,2026,0,0,1
2026-04-01,2254840.0,195.0,698.0,2,14,4,2026,0,0,0
2026-04-02,2125139.0,173.0,663.0,3,14,4,2026,0,0,0
2026-04-03,1874133.9,173.0,595.0,4,14,4,2026,0,0,0
2025-10-17,1407159.6,167.0,437.0,4,42,10,2025,0,0,0
2025-10-18,1788198.6,208.0,569.0,5,42,10,2025,1,0,0
2025-10-19,1142119.9,159.0,365.0,6,42,10,2025,1,0,0
2025-10-20,792206.9,100.0,248.0,0,43,10,2025,0,0,0
2025-10-21,638251.44,79.0,188.0,1,43,10,2025,0,0,0
2025-10-22,707642.1,93.0,202.0,2,43,10,2025,0,0,0
2025-10-23,922356.25,133.0,272.0,3,43,10,2025,0,0,0
2025-10-24,1244797.6,145.0,393.0,4,43,10,2025,0,0,0
2025-10-25,1425952.1,175.0,473.0,5,43,10,2025,1,0,0
2025-10-26,1522765.5,217.0,513.0,6,43,10,2025,1,0,0
2025-10-27,1596918.5,227.0,532.0,0,44,10,2025,0,0,0
2025-10-28,1604065.0,230.0,525.0,1,44,10,2025,0,0,0
2025-10-29,1486267.5,214.0,472.0,2,44,10,2025,0,0,0
2025-10-30,767941.44,117.0,252.0,3,44,10,2025,0,0,0
2025-10-31,540688.3,56.0,177.0,4,44,10,2025,0,0,0
2025-11-01,2483565.0,314.0,738.0,5,44,11,2025,1,0,0
2025-11-02,2873717.8,288.0,821.0,6,44,11,2025,1,0,0
2025-11-03,189969.6,20.0,45.0,0,45,11,2025,0,0,0
2025-11-04,562572.2,72.0,184.0,1,45,11,2025,0,0,0
2025-11-05,602500.4,91.0,169.0,2,45,11,2025,0,0,0
2025-11-06,829425.4,121.0,235.0,3,45,11,2025,0,0,0
2025-11-07,1120901.4,139.0,349.0,4,45,11,2025,0,0,0
2025-11-08,1347798.0,156.0,440.0,5,45,11,2025,1,0,0
2025-11-09,1378924.9,210.0,454.0,6,45,11,2025,1,0,0
2026-04-22,1492327.8,177.0,463.0,2,17,4,2026,0,0,0
2026-04-23,1788532.6,208.0,566.0,3,17,4,2026,0,0,0
2026-04-24,1292829.6,171.0,412.0,4,17,4,2026,0,0,0
2026-04-25,1815314.8,226.0,589.0,5,17,4,2026,1,0,0
