id,name,slug,category_id,category_name,supplier_id,price,current_stock,total_sold
120,PERMEN KISS/MINTZ (2pcs),permen-kissmintz-2pcs-69,3,SNACKS,28,500,7,945
123,CHOCOLATOS,chocolatos-56,3,SNACKS,28,1000,29,90
125,QTELA SINGKONG,qtela-singkong-14,3,SNACKS,28,6000,1,14
126,SARI GANDUM,sari-gandum-55,3,SNACKS,28,2500,0,48
127,JETZ STICK,jetz-stick-85,3,SNACKS,28,2500,9,13
139,PERMEN YUPI,permen-yupi-88,3,SNACKS,28,500,54,215
140,NUTRIBOOST,nutriboost-89,2,MINUMAN,28,7000,0,382
141,SOSIS SO NICE,sosis-so-nice-90,3,SNACKS,28,1500,41,109
145,SALTCHEESE COMBO,saltcheese-combo-61,3,SNACKS,15,2500,0,1
146,NABATI RICHEESE AHH,nabati-richeese-ahh-28,3,SNACKS,15,3000,0,26
148,TANGO WALUT,tango-walut-72,3,SNACKS,15,2000,0,0
149,KINDER JOY CREAMY,kinder-joy-creamy-29,3,SNACKS,15,8500,0,0
150,NISSIN MINI STICK,nissin-mini-stick-97,3,SNACKS,15,2500,0,0
151,OISHI POPCORN,oishi-popcorn-25,3,SNACKS,15,3500,0,11
152,TWISKO JAGUNG BAKAR,twisko-jagung-bakar-73,3,SNACKS,15,3500,0,0
153,DILAN CHOCOLATE SANDWICH,dilan-chocolate-sandwich-27,3,SNACKS,15,2000,0,0
154,RON RON MAKARONI,ron-ron-makaroni-77,3,SNACKS,15,4000,0,0
172,ROTI MAYONIS,roti-mayonis-10,1,MAKANAN KERING,35,5000,0,28
173,SLAI OLAI,slai-olai-65,3,SNACKS,28,2500,1,121
174,TRICKS,tricks-12,3,SNACKS,28,1500,22,175
175,NIPIS MADU LIME SODA,nipis-madu-lime-soda-16,2,MINUMAN,28,5000,0,198
183,FULLO,fullo-98,3,SNACKS,28,1000,46,50
185,DONAT TOPPING,donat-topping-13,1,MAKANAN KERING,37,3500,0,332
187,TORA CAFE,tora-cafe-26,2,MINUMAN,15,7000,0,142
188,NYAM NYAM STICK,nyam-nyam-stick-87,3,SNACKS,15,2000,0,0
189,WALENS WAFFLE DELUXE,walens-waffle-deluxe-49,3,SNACKS,15,4000,0,0
190,PERMEN HEXOS,permen-hexos-69,3,SNACKS,15,3000,0,26
197,SNACK KACANG,snack-kacang-51,1,MAKANAN KERING,15,3000,0,8
212,SUKI,suki-76,3,SNACKS,15,2000,0,0
213,HISTERIA PEACH,histeria-peach-37,4,ICE CREAM,42,8000,0,0
214,HISTERIA VANILA,histeria-vanila-37,4,ICE CREAM,42,8000,0,0
217,AICE MILK BOBA,aice-milk-boba-100,4,ICE CREAM,42,6000,0,0
218,AICE COFFEE CRISPY,aice-coffee-crispy-64,4,ICE CREAM,42,4000,0,270
220,AICE RIA RIA KACANG HIJAU,aice-ria-ria-kacang-hijau-72,4,ICE CREAM,42,3000,0,0
221,AICE CRISPY BALL SERIES,aice-crispy-ball-series-38,4,ICE CREAM,42,5000,0,169
222,AICE COLORS STICK,aice-colors-stick-81,4,ICE CREAM,42,3000,0,200
223,AICE CHOCOLATE CRISPY,aice-chocolate-crispy-93,4,ICE CREAM,42,5000,0,298
224,AICE BLUBERRY COOKIES,aice-bluberry-cookies-72,4,ICE CREAM,42,6000,0,0
225,AICE MILK MELON,aice-milk-melon-70,4,ICE CREAM,42,3000,0,81
226,AICE STRAWBERRY CRISPY,aice-strawberry-crispy-63,4,ICE CREAM,42,3500,4,551
227,AICE SWEET CORN,aice-sweet-corn-84,4,ICE CREAM,42,3500,2,431
228,AICE JEJU APPLE,aice-jeju-apple-12,4,ICE CREAM,42,3500,0,0
230,AICE FRUIZZY BLUEBERRY,aice-fruizzy-blueberry-41,4,ICE CREAM,42,3500,0,200
232,AICE CHOCOLATE STICK,aice-chocolate-stick-51,4,ICE CREAM,42,2500,0,249
234,AICE CHOCO MALT,aice-choco-malt-26,4,ICE CREAM,42,2500,5,540
236,AICE MOONG BEAN,aice-moong-bean-67,4,ICE CREAM,42,4000,0,0
240,AICE MIKI MIKI SERIES,aice-miki-miki-series-74,4,ICE CREAM,42,2000,4,671
241,AICE MANGO SLUSH,aice-mango-slush-39,4,ICE CREAM,42,4000,0,58
242,AICE SUNDAE CUP SERIES,aice-sundae-cup-series-66,4,ICE CREAM,42,5000,0,168
243,AICE NANAS,aice-nanas-14,4,ICE CREAM,42,2000,0,209
245,AICE SEMANGKA,aice-semangka-81,4,ICE CREAM,42,2000,0,208
246,AICE JERUK,aice-jeruk-31,4,ICE CREAM,42,2000,0,98
247,AICE FRUIZZY GRAPE,aice-fruizzy-grape-56,4,ICE CREAM,42,2000,0,385
248,AICE MARKISA,aice-markisa-14,4,ICE CREAM,42,2000,0,0
249,MAKARONI,makaroni-92,1,MAKANAN KERING,43,2000,0,0
253,NUNO,nuno-55,3,SNACKS,15,2000,0,0
254,RONI CRISPY MAKARONI,roni-crispy-makaroni-40,3,SNACKS,15,3500,0,0
255,FULLO STICKY,fullo-sticky-22,3,SNACKS,15,4000,0,0
256,APETITO,apetito-84,3,SNACKS,15,3500,0,5
257,CHOKI STIX,choki-stix-86,3,SNACKS,15,4000,0,0
258,SMAX BALLS,smax-balls-33,3,SNACKS,15,3500,0,2
272,SOSIS SOLO,sosis-solo-73,5,MAKANAN BASAH,15,3500,0,113
273,SUSU KEDELAI,susu-kedelai-28,2,MINUMAN,15,3000,0,4
274,WAFER SELAMAT,wafer-selamat-18,3,SNACKS,15,2500,0,0
275,KACANG ATOM MAMPET,kacang-atom-mampet-10,1,MAKANAN KERING,15,2000,0,0
278,TEH KOTAK,teh-kotak-97,2,MINUMAN,43,6000,0,1008
279,TEH BOTOL,teh-botol-48,2,MINUMAN,43,4000,0,504
286,NASI AYAM SUWIR,nasi-ayam-suwir-63,5,MAKANAN BASAH,44,10000,0,6
293,KOPI GOOD DAY,kopi-good-day-69,2,MINUMAN,43,8000,0,231
294,KOPIKO,kopiko-95,2,MINUMAN,43,8000,0,78
295,KOPI KAPAL API,kopi-kapal-api-97,2,MINUMAN,43,6500,0,240
296,AICE FRUIT TWISTER,aice-fruit-twister-33,4,ICE CREAM,42,3000,0,115
297,PIE BROWNIES,pie-brownies-88,5,MAKANAN BASAH,49,3000,0,14
299,ROTI ROLL,roti-roll-59,5,MAKANAN BASAH,49,3000,0,525
301,FLOOSY ABON,floosy-abon-10,5,MAKANAN BASAH,49,4000,0,52
303,SUS VANILLA,sus-vanilla-57,5,MAKANAN BASAH,49,4000,0,37
304,DUMPLING ODENG BAKAR,dumpling-odeng-bakar-80,5,MAKANAN BASAH,49,4000,0,75
305,KEBAB,kebab-47,5,MAKANAN BASAH,49,4500,0,148
307,BAGELEN,bagelen-98,3,SNACKS,15,5000,0,3
308,NEXTAR CHOCOLATE PIE,nextar-chocolate-pie-70,3,SNACKS,15,3500,0,0
309,CHICKEN BENTO,chicken-bento-97,5,MAKANAN BASAH,44,12000,0,50
313,BOMBOLONI (HOKI),bomboloni-hoki-14,5,MAKANAN BASAH,49,3000,0,554
314,ROTI ISI COKELAT/BLUEBERRY/PISANG,roti-isi-cokelatblueberrypisang-45,5,MAKANAN BASAH,49,4500,0,147
321,COKLAT CRUNCHY,coklat-crunchy-88,5,MAKANAN BASAH,49,3000,0,0
322,MARTABAK MINI,martabak-mini-69,5,MAKANAN BASAH,49,3000,0,37
323,ROTI ABON,roti-abon-62,5,MAKANAN BASAH,49,5000,0,17
328,MOMOGI POPCORN,momogi-popcorn-49,3,SNACKS,15,5500,0,0
336,ROTI SANDWICH,roti-sandwich-58,5,MAKANAN BASAH,37,9000,0,34
342,DONAT,donat-73,1,MAKANAN KERING,53,2500,0,622
343,AYAM KRISPI,ayam-krispi-70,5,MAKANAN BASAH,53,2500,0,759
344,SOSIS BAKAR,sosis-bakar-100,5,MAKANAN BASAH,9,5000,0,348
353,NASI RAMES/UDUK,nasi-ramesuduk-27,5,MAKANAN BASAH,52,5000,0,749
354,SUSU INDOMILK UHT,susu-indomilk-uht-31,2,MINUMAN,43,6000,0,150
355,SUSU FRISIAN FLAG UHT,susu-frisian-flag-uht-17,2,MINUMAN,43,7000,0,610
358,KUE LUMPUR,kue-lumpur-50,5,MAKANAN BASAH,55,1500,0,6
359,SUNKIST,sunkist-100,2,MINUMAN,43,5000,0,69
360,NEXTAR,nextar-71,3,SNACKS,28,2500,6,114
361,NABATI SIIP,nabati-siip-84,3,SNACKS,28,4000,1,4
362,CHIKI TWIST,chiki-twist-49,3,SNACKS,28,2500,0,45
363,BISKUAT,biskuat-63,3,SNACKS,28,3500,0,35
364,ROTI PADIMAS,roti-padimas-18,3,SNACKS,58,3000,0,0
365,POTACHIPS,potachips-87,3,SNACKS,59,15000,0,6
367,KRICE,krice-24,3,SNACKS,28,2000,0,0
368,LEMONIA,lemonia-61,3,SNACKS,28,7500,0,0
369,CHEESECUIT,cheesecuit-87,1,MAKANAN KERING,60,15000,0,57
375,SUSU BANTAL REALGOOD,susu-bantal-realgood-31,2,MINUMAN,60,3500,0,317
376,OAT CHOCO,oat-choco-69,3,SNACKS,58,2000,0,0
377,BASRENG,basreng-30,1,MAKANAN KERING,58,3000,0,0
378,KRIPIK KACA,kripik-kaca-95,1,MAKANAN KERING,58,2000,0,0
379,AICE BANANA CRISPY,aice-banana-crispy-85,4,ICE CREAM,42,5000,0,0
380,AICE MOCHI SERIES,aice-mochi-series-100,4,ICE CREAM,42,3000,0,355
381,PUDING,puding-100,1,MAKANAN KERING,58,3000,0,0
384,SOFTCOOKIES,softcookies-52,1,MAKANAN KERING,64,5000,2,401
388,NASI BAKAR IKAN TUNA,nasi-bakar-ikan-tuna-22,5,MAKANAN BASAH,15,10500,0,0
389,NASI BAKAR AYAM,nasi-bakar-ayam-69,5,MAKANAN BASAH,15,10500,0,0
392,BAKSO BAKAR,bakso-bakar-88,5,MAKANAN BASAH,9,3000,0,300
393,YAKULT,yakult-41,2,MINUMAN,9,3500,0,170
394,YOU C 1000,you-c-1000-34,2,MINUMAN,9,8000,1,150
395,NU GREEN TEA,nu-green-tea-12,2,MINUMAN,9,7000,0,287
396,AOKA,aoka-90,3,SNACKS,9,4000,0,25
397,BENG BENG,beng-beng-69,3,SNACKS,58,3500,0,31
398,YUPI ROLETTO,yupi-roletto-27,3,SNACKS,58,2000,0,12
399,YUPI BERRI BONZ,yupi-berri-bonz-20,3,SNACKS,58,1500,0,0
402,PEMBALUT NIGHT,pembalut-night-46,6,MERCH,28,4000,5,13
403,PEMBALUT DAY,pembalut-day-38,6,MERCH,28,2000,29,13
404,MARI CAFE COFFEE CANDY,mari-cafe-coffee-candy-18,3,SNACKS,15,3500,0,25
405,FRENCH FRIES AMEX,french-fries-amex-92,3,SNACKS,15,5000,0,0
406,SILKYS DUO,silkys-duo-79,3,SNACKS,15,2000,2,0
407,5 DAYS DELI CROISSANT,5-days-deli-croissant-44,3,SNACKS,15,5500,0,0
409,YUPI AQUARIUM,yupi-aquarium-76,3,SNACKS,58,2000,0,23
410,NOBO OATMILK,nobo-oatmilk-49,2,MINUMAN,60,3500,0,1683
417,BAKPAO,bakpao-40,1,MAKANAN KERING,69,5000,1,587
420,POTATOQ,potatoq-99,3,SNACKS,15,3500,0,0
422,LANYARD,lanyard-44,6,MERCH,28,10000,1,6
423,STICKER PACK TEDI,sticker-pack-tedi-65,6,MERCH,28,8000,0,20
424,STICKER TEDI SATUAN,sticker-tedi-satuan-92,6,MERCH,28,3000,32,50
425,GANCI TEDI,ganci-tedi-70,6,MERCH,28,6000,6,8
430,SANDWICH CRISPY,sandwich-crispy-31,5,MAKANAN BASAH,72,4000,0,1081
436,PEYEK KACANG,peyek-kacang-24,1,MAKANAN KERING,55,2000,0,20
437,NASI AYAM KREMES/EGG ROL /BESTIK/RAMEN BAKSO,nasi-ayam-kremesegg-rol-bestikramen-bakso-57,5,MAKANAN BASAH,75,12000,0,443
443,DUO SUS,duo-sus-10,3,SNACKS,15,3500,0,12
444,MINI BLACK BISCUIT,mini-black-biscuit-15,3,SNACKS,15,5000,3,60
445,CHOKI CHOKI,choki-choki-20,3,SNACKS,15,2000,0,40
446,PUSAN BUBBLE UP,pusan-bubble-up-78,3,SNACKS,15,1000,1,159
452,SPAGHETTI,spaghetti-32,5,MAKANAN BASAH,77,11000,0,62
454,MIGI MIGI WAFER CREAM,migi-migi-wafer-cream-36,3,SNACKS,15,2000,8,32
459,FITBAR,fitbar-34,3,SNACKS,9,6000,0,55
460,OREO SOFT CAKE,oreo-soft-cake-16,3,SNACKS,9,3000,3,181
461,TOP,top-71,3,SNACKS,9,2000,3,141
462,TICTAC,tictac-39,3,SNACKS,9,7000,1,47
463,KUSUKA,kusuka-40,3,SNACKS,9,7000,1,75
465,PILUS GARUDA,pilus-garuda-83,3,SNACKS,9,7000,4,50
466,OATSIDE,oatside-15,2,MINUMAN,9,7000,0,126
467,NESCAFE,nescafe-59,2,MINUMAN,9,8000,1,134
468,MIZONE,mizone-18,2,MINUMAN,9,7000,0,166
471,SILVERQUEEN 55gr,silverqueen-55gr-55,3,SNACKS,15,17500,0,15
473,KRIPIK USUS,kripik-usus-47,1,MAKANAN KERING,79,6000,6,125
480,MILO ACTIV CUBE,milo-activ-cube-96,3,SNACKS,15,1000,0,75
481,BOLU PANGGANG PADI MAS,bolu-panggang-padi-mas-34,3,SNACKS,15,4000,0,60
482,LAZERY,lazery-37,3,SNACKS,15,1000,1,174
483,MENTOS,mentos-70,3,SNACKS,15,6000,0,14
484,WAFER ASTOR,wafer-astor-43,3,SNACKS,79,2000,26,136
485,TEH GELAS CUP,teh-gelas-cup-77,2,MINUMAN,79,3000,0,134
486,ISOCUP ISOTONIK,isocup-isotonik-74,2,MINUMAN,79,3000,0,70
487,VITA JELLY DRINK,vita-jelly-drink-45,2,MINUMAN,79,3000,0,150
488,KOPI NAGA CUP,kopi-naga-cup-93,2,MINUMAN,79,3000,1,92
489,NATA DE COCO,nata-de-coco-56,2,MINUMAN,79,6000,0,52
490,KRAFT KEJU CAKE,kraft-keju-cake-65,3,SNACKS,9,3000,2,129
491,CORO BIKANG,coro-bikang-69,5,MAKANAN BASAH,15,3000,0,0
492,FEROCOCO,ferococo-23,3,SNACKS,59,1000,18,61
494,AICE CONE SERIES,aice-cone-series-80,4,ICE CREAM,42,5000,0,168
495,MIE LIDI JADUL,mie-lidi-jadul-35,1,MAKANAN KERING,79,2000,14,106
496,RISOL MATCHA\COKLAT\RED VELVET,risol-matchacoklatred-velvet-14,5,MAKANAN BASAH,13,3000,0,235
498,RICE BOWL - AYAM LADA HITAM,rice-bowl-ayam-lada-hitam-60,5,MAKANAN BASAH,77,12000,0,198
500,AICE LEMON SWEET TEA,aice-lemon-sweet-tea-35,4,ICE CREAM,42,2000,0,150
501,Sosis Mie,sosis-mie-69,5,MAKANAN BASAH,72,5000,0,1358
504,MAKARONI BUMBU TABUR 50 GRAM,makaroni-bumbu-tabur-50-gram-48,1,MAKANAN KERING,86,3500,0,35
505,SERABI SOLO,serabi-solo-78,5,MAKANAN BASAH,73,2500,0,117
506,CIRENG AYAM SUWIR,cireng-ayam-suwir-64,5,MAKANAN BASAH,87,2500,0,511
507,NASI COKOT,nasi-cokot-37,5,MAKANAN BASAH,88,7000,0,92
508,Takoyaki,takoyaki-75,5,MAKANAN BASAH,89,5000,0,288
509,RISOL BOLOGNESE,risol-bolognese-61,5,MAKANAN BASAH,89,3500,0,212
510,CORNDOG,corndog-37,5,MAKANAN BASAH,53,3000,0,47
511,MOCHI CONLEY,mochi-conley-95,3,SNACKS,86,3000,0,50
512,LE MINERALE AIR MINERAL,le-minerale-air-mineral-97,2,MINUMAN,72,4000,0,853
513,OTAK OTAK CHILI OIL,otak-otak-chili-oil-62,5,MAKANAN BASAH,49,3000,0,100
514,CRYSTALIN AIR MINERAL,crystalin-air-mineral-93,2,MINUMAN,85,3500,5,496
515,AQUVIVA AIR MINERAL,aquviva-air-mineral-57,2,MINUMAN,79,4000,1,84
517,TEH PUCUK,teh-pucuk-41,2,MINUMAN,85,4500,0,43
518,ODADING CAKUE,odading-cakue-59,5,MAKANAN BASAH,91,2500,0,540
519,TAHU ISI,tahu-isi-24,5,MAKANAN BASAH,91,2000,0,316
520,FRESTEA,frestea-99,2,MINUMAN,85,5500,0,56
521,MINUTE MAID PULPY,minute-maid-pulpy-70,2,MINUMAN,85,7000,0,20
522,MAKARONI SCOTEL,makaroni-scotel-100,5,MAKANAN BASAH,49,5500,0,5
523,HYDROCOCO,hydrococo-22,2,MINUMAN,85,8000,0,52
524,ICHITAN THAI TEA,ichitan-thai-tea-31,2,MINUMAN,85,9000,0,44
525,DIMSUM GORENG,dimsum-goreng-74,5,MAKANAN BASAH,73,5000,0,113
526,ROTI KRIM MESES,roti-krim-meses-10,3,SNACKS,73,2500,0,56
527,SPRITE WATER LEMON,sprite-water-lemon-11,2,MINUMAN,85,5000,0,38
528,DIMSUM,dimsum-31,5,MAKANAN BASAH,92,2000,0,85
529,POP MIE / MIE SEDAP SEDUH,pop-mie-mie-sedap-seduh-85,1,MAKANAN KERING,28,7000,10,183
530,SEBLAK INSTAN,seblak-instan-90,1,MAKANAN KERING,28,18000,0,2
531,KOPI KENANGAN,kopi-kenangan-32,2,MINUMAN,93,9500,0,28
532,KOPI POINT COFFE,kopi-point-coffe-43,2,MINUMAN,93,9000,0,43
533,BUAHVITA JUICE,buahvita-juice-26,2,MINUMAN,93,8000,0,34
534,ICHI OCHA,ichi-ocha-54,2,MINUMAN,93,3500,0,24
535,FANTA/COCA-COLA/SPRITE,fantacoca-colasprite-69,2,MINUMAN,93,4000,0,36
536,SUKRO,sukro-15,3,SNACKS,93,1500,15,15
537,GORIORIO,goriorio-97,3,SNACKS,93,1500,8,22
538,MARTABAK MIHUN (GORENG),martabak-mihun-goreng-64,5,MAKANAN BASAH,94,5000,0,6
539,CIRENG ISI KEJU,cireng-isi-keju-87,5,MAKANAN BASAH,87,2500,0,412
540,PISANG COKLAT,pisang-coklat-91,5,MAKANAN BASAH,54,5000,0,6
541,MALKIST,malkist-13,3,SNACKS,93,1500,12,18
542,AIR PANAS,air-panas-83,2,MINUMAN,28,1000,91,9
543,YOU C ORANGE/LEMON WATER,you-c-orangelemon-water-26,2,MINUMAN,85,9000,0,34
544,NASI GORENG,nasi-goreng-75,5,MAKANAN BASAH,54,10000,0,17
545,NASI AYAM RICA RICA/RENDANG,nasi-ayam-rica-ricarendang-40,5,MAKANAN BASAH,54,10000,0,3
546,PUDING WONG COCO,puding-wong-coco-94,3,SNACKS,86,6000,3,1
547,DILAN COKIES,dilan-cokies-20,3,SNACKS,86,8000,0,8
548,POCKY,pocky-27,3,SNACKS,86,10000,3,3
549,INDOMIE GORENG,indomie-goreng-75,5,MAKANAN BASAH,95,6500,0,28
550,AQUA AIR MINERAL,aqua-air-mineral-41,2,MINUMAN,75,3500,0,265
551,MIE ROLL,mie-roll-67,5,MAKANAN BASAH,96,3500,0,14
552,AICE GOYANG LIDAH,aice-goyang-lidah-93,4,ICE CREAM,42,3000,0,50
553,TAHU BAKSO GORENG TELUR,tahu-bakso-goreng-telur-10,5,MAKANAN BASAH,15,2500,0,325
554,GREEN SANDS,green-sands-87,2,MINUMAN,75,8000,0,22
555,GERY SEREAL,gery-sereal-55,3,SNACKS,85,2500,1,4
556,MILTON,milton-78,3,SNACKS,85,2000,36,24
557,PUDING FLA,puding-fla-39,5,MAKANAN BASAH,97,6000,0,5
